gene_id,gene_name,baseMean,log2FoldChange,lfcSE,pvalue,padj,log2FoldChange_MLE,lfcSE_MLE
ENSG00000018408.14,WWTR1,492.778306687932,0.7664386151850349,0.05271231340004223,9.234511217090654e-48,1.7233444833334579e-43,0.7638426036533588,0.05261122499650398
ENSG00000020577.13,SAMD4A,1269.9399594244724,0.5577922464091093,0.0422188825932836,6.493016939656694e-40,6.058634106393661e-36,0.5551516681576517,0.04198488382241367
ENSG00000143772.9,ITPKB,4775.58278872069,0.6210984431020429,0.04764582415652301,1.0616092900932822e-39,6.603917523906944e-36,0.627676077752154,0.04760303409754762
ENSG00000138795.9,LEF1,131.63844474010642,0.698823261716694,0.05548591434240345,2.899020451319617e-38,9.820026845039677e-35,0.7067432607835283,0.054642884569568485
ENSG00000111181.12,SLC6A12,528.2716398002902,0.7122674284956987,0.05663666500360835,3.1572265068180293e-38,9.820026845039677e-35,0.7237631721662251,0.05598719863500064
ENSG00000125733.17,TRIP10,178.22222650782078,0.7958833811217957,0.06234587613711889,2.947762855124519e-38,9.820026845039677e-35,0.798211412227758,0.06172099395086037
ENSG00000074219.13,TEAD2,53.367670740894745,0.8216001177220186,0.06531585597144059,5.022005525623522e-38,1.3388666731312311e-34,0.8317872869070373,0.06452186777992874
ENSG00000197256.10,KANK2,565.0551945389972,0.6754570581665912,0.053728224988536966,6.824869575104915e-38,1.592071450132599e-34,0.6854278637274491,0.053266567411081295
ENSG00000117115.12,PADI2,2535.890664707305,0.49053579678466075,0.038678434350798326,8.843089886113824e-38,1.8336638161628467e-34,0.49578391675617,0.03858885422036784
ENSG00000169245.5,CXCL10,40.47476469153595,2.1982188089022814,0.17606598872618687,2.9576750037496007e-37,5.519613091997505e-34,2.2223641951448574,0.1742470293803373
ENSG00000141433.12,ADCYAP1,174.79072520713856,-0.7600917759495475,0.06124355353316725,3.78856462544159e-37,6.427472094544632e-34,-0.7688730490183917,0.06037578585392063
ENSG00000108349.14,CASC3,2031.6596362885978,0.4267747997230458,0.03454321282670559,4.476858641552447e-37,6.96226133072098e-34,0.4361007677081958,0.03427991964720731
ENSG00000185650.9,ZFP36L1,1382.9755756613577,0.6069789889591856,0.0486475156876567,7.148542642558078e-37,1.0262007907339911e-33,0.6139663651401488,0.04840043818142629
ENSG00000170275.14,CRTAP,1387.5589712739065,0.37757759013732933,0.030634284862578305,1.4524339199555823e-36,1.9057273919674304e-33,0.38477973997589676,0.030466803200830003
ENSG00000179241.12,LDLRAD3,240.09988975486698,0.48692799412649884,0.03984867329574784,1.5317710255873676e-36,1.9057273919674304e-33,0.5004883903345837,0.03964173579531056
ENSG00000131095.11,GFAP,108008.56774621869,0.6631743744701961,0.052928029282569414,2.2620458055392384e-36,2.6383936764358293e-33,0.6708122245726701,0.053262041524752335
ENSG00000196517.11,SLC6A9,280.2907634395596,0.5794658945557518,0.04675013363270637,3.2949024203169327e-36,3.6170275863502704e-33,0.5861753084543762,0.04665198601302769
ENSG00000198774.4,RASSF9,18.980226920932765,1.1211437542739748,0.0907059616700068,7.680780751591742e-36,7.963262799233617e-33,1.1349794869580552,0.09081480861677525
ENSG00000182253.14,SYNM,1822.3198211703605,0.31538912915058,0.025576530765334764,1.0732711409093649e-35,1.054178212192135e-32,0.31839902534877773,0.025530939025572505
ENSG00000133789.14,SWAP70,691.9394295722461,0.36598209654064234,0.02995808624226969,2.2245855852083995e-35,2.0757608095579576e-32,0.371182666289382,0.029902987132053926
ENSG00000132357.13,CARD6,56.72803507024231,0.5965176283575058,0.048924789997950795,2.8525382264236075e-35,2.534955637215112e-32,0.602185559652285,0.04859087204111298
ENSG00000154945.6,ANKRD40,1973.660478965066,0.4779454082983539,0.039542129617741305,1.3506291781408438e-34,1.1457018964756558e-31,0.48099334225820795,0.03920816472963993
ENSG00000147571.4,CRH,36.38209773663492,-1.114351027585892,0.09398455347145067,1.5729813218072992e-34,1.2763033664159921e-31,-1.130005486543936,0.0922051901584087
ENSG00000112851.14,ERBB2IP,4472.831626584196,0.45381124472195733,0.037526927192580696,1.711728647669271e-34,1.3310116676168308e-31,0.4590192930072963,0.03747561097203211
ENSG00000120690.14,ELF1,239.6551261870607,0.4488703545576519,0.037261366262297486,2.291730442398356e-34,1.710730940641525e-31,0.4540520879309448,0.037141912983101724
ENSG00000138193.14,PLCE1,545.1770756670952,0.3560603660358551,0.029488174176582185,7.057753971643237e-34,5.065838639184849e-31,0.3593091098267163,0.029614097823669683
